Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return,High_Low_Range,Open_Close_Change,SMA_5,SMA_20,SMA_50,EMA_20,EMA_50,Price_SMA20_Ratio,Price_SMA50_Ratio,SMA20_SMA50_Ratio,Momentum_10,RSI_14,MACD,MACD_Signal,MACD_Histogram,Volatility_10,Volatility_20,ATR_14,Volume_Change,Volume_SMA_20,Relative_Volume,Return_Lag_1,Return_Lag_2,Return_Lag_3,Return_Lag_5,Volume_Lag_1,Target
2021-10-26,18154.5,18310.44921875,18099.30078125,18268.400390625,341400,0.007889480889700096,0.00785852166355233,0.01155812402756168,0.006273948091382302,18190.680078125,17987.130078125,17484.6519921875,18013.67062738837,17601.01555942454,1.0156373090803446,1.0448249355370467,1.028738237750572,0.017967908408996314,64.64540503246441,217.77985490962965,233.06633196433918,-15.286477054709536,0.00658398159018787,0.0066158985207717845,225.45368303571428,-0.1846190589921185,397205.0,0.8595057967548243,0.000579633328010587,-0.003476668084567369,-0.004844908296702255,-0.003155307734996393,418700.0,0
2021-10-27,18295.849609375,18342.05078125,18167.900390625,18210.94921875,335200,-0.0031448386638428527,-0.0031497940609639214,0.009562949659191553,-0.004640418042215218,18179.55,18010.24755859375,17518.288984375,18032.459064660903,17624.93452645691,1.0111437479969831,1.0395392629378817,1.028082569859279,0.012172110833426064,70.11709132789744,207.5407636197997,227.9612182954313,-20.420454675631618,0.006754284851923143,0.0064843088193983515,218.50376674107142,-0.018160515524311638,394065.0,0.8506210904292439,0.007889480889700096,0.000579633328010587,-0.003476668084567369,-0.008260625212080042,341400.0,0
2021-10-28,18187.650390625,18190.69921875,17799.44921875,17857.25,374200,-0.0194223384240636,-0.019613430387588483,0.021909868540788757,-0.01816619428726803,18115.380078125,18017.54501953125,17544.17296875,18015.77248707415,17634.044937184088,0.9911033928674806,1.017845072082204,1.026981725022002,-0.016766005478546897,52.07314253619057,168.93822434862886,216.15661950607083,-47.21839515744196,0.008775497386783545,0.007976409785578231,231.33942522321428,0.11634844868735073,384665.0,0.9727945095082734,-0.0031448386638428527,0.007889480889700096,0.000579633328010587,-0.004844908296702255,335200.0,0
2021-10-29,17833.05078125,17915.849609375,17613.099609375,17671.650390625,336500,-0.010393515763905459,-0.010447905544470225,0.01713195956845163,-0.009050632592528664,18026.730078125,18020.22001953125,17565.313984375,17982.998954078994,17635.51966084844,0.9806567495553077,1.0060537720159508,1.0258979734470393,-0.036366035603362046,43.40272774327719,121.96318087436521,197.31793177972972,-75.35475090536451,0.008163303448664325,0.008249716048636958,242.14299665178572,-0.10074826296098338,382560.0,0.8796005855290673,-0.0194223384240636,-0.0031448386638428527,0.007889480889700096,-0.003476668084567369,374200.0,1
2021-11-01,17783.150390625,17954.099609375,17697.099609375,17929.650390625,281200,0.014599655057507821,0.014494106171593095,0.014333798730084517,0.008238135357457951,17987.580078125,18040.1,17592.53,17977.918138511945,17647.05419927105,0.993877550048226,1.019162700909136,1.0254409115687169,-0.029625961258951894,49.571422261801686,104.35067466661349,178.7244803571065,-74.37380569049301,0.009428122154650526,0.008749415426903042,247.82868303571428,-0.16433878157503712,381330.0,0.737419033383159,-0.010393515763905459,-0.0194223384240636,-0.0031448386638428527,0.000579633328010587,336500.0,0
2021-11-02,17970.900390625,18012.25,17847.599609375,17888.94921875,296400,-0.002270048271341696,-0.002272628736845954,0.009204028062890607,-0.0045602151307761974,17911.68984375,18049.9849609375,17621.298984375,17969.444908058427,17656.540278466302,0.9910783447999539,1.01518901839259,1.0243277170963743,-0.028764209365456428,47.28404624372719,86.11570395921444,160.2027250775281,-74.08702111831366,0.009430700720671564,0.008574487802263282,249.32505580357142,0.054054054054053946,381360.0,0.777218376337319,0.014599655057507821,-0.010393515763905459,-0.0194223384240636,0.007889480889700096,281200.0,0
2021-11-03,17947.94921875,17988.75,17757.94921875,17829.19921875,331000,-0.0033400508475575075,-0.003345641269055336,0.012945100810095799,-0.006616354802026258,17835.33984375,18050.3298828125,17647.953984375,17956.088175743338,17663.311217300958,0.9877492175767346,1.0102700423253297,1.0228001443563233,-0.023945364762936627,40.69086177297132,66.08128868749918,141.37843779952232,-75.29714911202313,0.009245244471504386,0.008459830906104825,251.10714285714286,0.11673414304993246,376560.0,0.879009985128532,-0.002270048271341696,0.014599655057507821,-0.010393515763905459,-0.0031448386638428527,296400.0,1
2021-11-04,17935.05078125,17947.55078125,17900.599609375,17916.80078125,48500,0.004913376165984751,0.0049013449265533065,0.002620510907512829,-0.0010175605423475723,17847.25,18063.869921875,17673.7980078125,17952.346519124927,17673.251984514645,0.9918583813290804,1.0137493239048043,1.022070633255516,-0.01437437541547193,37.57331614566548,56.619905198975175,124.4267312794129,-67.80682608043773,0.009472095387277253,0.008186664672047345,246.06082589285714,-0.8534743202416919,359195.0,0.13502415122704936,-0.0033400508475575075,-0.002270048271341696,0.014599655057507821,-0.0194223384240636,331000.0,1
2021-11-08,18040.19921875,18087.80078125,17836.099609375,18068.55078125,338900,0.008469704042186388,0.008434037348294714,0.013930346430229147,0.001571577018425214,17926.630078125,18077.77998046875,17702.476015625,17963.413591708268,17688.75389811211,0.9994894727544688,1.0206792973650627,1.0212006481190816,-0.002558645555621575,38.05697422638027,60.6673123780638,111.67484749914308,-51.007535121079286,0.009926372395010746,0.008200532183113044,249.42522321428572,5.9876288659793815,355145.0,0.9542581199228484,0.004913376165984751,-0.0033400508475575075,-0.002270048271341696,-0.010393515763905459,48500.0,0
2021-11-09,18084.349609375,18112.599609375,17983.05078125,18044.25,270200,-0.001344921435271762,-0.0013458266538282125,0.007179507495462543,-0.002217365304318835,17949.55,18085.23251953125,17730.6230078125,17971.11229725986,17702.69492171556,0.9977339235485642,1.0176884361056748,1.019999833709312,-0.004477164028165337,38.828919526086665,61.2084686451235,101.58157172833917,-40.37310308321567,0.009927034490731674,0.008122756735738918,242.48228236607142,-0.20271466509294778,352450.0,0.7666335650446872,0.008469704042186388,0.004913376165984751,-0.0033400508475575075,0.014599655057507821,338900.0,0
